Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description,MinutesToRead,LinksInIntroduction,CodeBlocksPython,CodeBlocksCLI
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\event-hubs\event-hubs-create.md,http://docs.microsoft.com/azure/event-hubs/event-hubs-create,4,4,shvija,ShubhaVijayasarathy,timlt,1/23/2019,event-hubs,quickstart,"Quickstart: Create an event hub using Azure portal
",Azure Quickstart - Create an event hub using the Azure portal | Microsoft Docs,"In this quickstart, you learn how to create an Azure event hub using Azure portal and then send and receive events using .NET Standard SDK.",3,3,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\event-hubs\event-hubs-quickstart-cli.md,http://docs.microsoft.com/azure/event-hubs/event-hubs-quickstart-cli,4,4,shvija,ShubhaVijayasarathy,timlt,12/6/2018,event-hubs,quickstart,"Quickstart: Create an event hub using Azure CLI
",Create an event hub using Azure CLI - Azure Event Hubs | Microsoft Docs,This quickstart describes how to create an event hub using Azure CLI and then send and receive events using Java.,2,2,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\event-hubs\event-hubs-quickstart-powershell.md,http://docs.microsoft.com/azure/event-hubs/event-hubs-quickstart-powershell,4,4,shvija,ShubhaVijayasarathy,timlt,12/6/2018,event-hubs,quickstart,"Quickstart: Create an event hub using Azure PowerShell
",Create an event hub using PowerShell - Azure Event Hubs | Microsoft Docs,This quickstart describes how to create an event hub using Azure PowerShell and then send and receive events using .NET Standard SDK.,2,2,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\genomics\quickstart-run-genomics-workflow-portal.md,http://docs.microsoft.com/azure/genomics/quickstart-run-genomics-workflow-portal,26,26,grhuynh,grhuynh,cgronlun,1/11/2019,genomics,quickstart,"Quickstart: Run a workflow through the Microsoft Genomics service
",'Quickstart: Run a workflow through Microsoft Genomics',The quickstart shows how to load input data into Azure Blob Storage and run a workflow through the Microsoft Genomics service.,7,1,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-dps\quick-create-simulated-device-tpm-python.md,http://docs.microsoft.com/azure/iot-dps/quick-create-simulated-device-tpm-python,26,26,wesmc,wesmc7777,timlt,5/21/2018,iot-dps,quickstart,"Create and provision a simulated TPM device using Python device SDK for IoT Hub Device Provisioning Service
",Provision a simulated TPM device to Azure IoT Hub using Python | Microsoft Docs,Azure Quickstart - Create and provision a simulated TPM device using Java device SDK for IoT Hub Device Provisioning Service.This quickstart uses individual enrollments.,5,11,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-dps\quick-create-simulated-device-x509-python.md,http://docs.microsoft.com/azure/iot-dps/quick-create-simulated-device-x509-python,27,27,wesmc,wesmc7777,timlt,12/21/2017,iot-dps,quickstart,"Create and provision a simulated X.509 device using Python device SDK for IoT Hub Device Provisioning Service
",Provision a simulated X.509  device to Azure IoT Hub using Python | Microsoft Docs,Azure Quickstart - Create and provision a simulated X.509 device using Python device SDK for IoT Hub Device Provisioning Service. This quickstart uses individual enrollments.,5,10,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-dps\quick-enroll-device-tpm-python.md,http://docs.microsoft.com/azure/iot-dps/quick-enroll-device-tpm-python,24,24,wesmc,wesmc7777,timlt,1/26/2018,iot-dps,quickstart,"Enroll TPM device to IoT Hub Device Provisioning Service using Python provisioning service SDK
",Enroll TPM device to Azure Device Provisioning Service using Python | Microsoft Docs,Azure Quickstart - Enroll TPM device to Azure IoT Hub Device Provisioning Service using Python provisioning service SDK. This quickstart uses individual enrollments.,3,7,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-dps\quick-enroll-device-x509-python.md,http://docs.microsoft.com/azure/iot-dps/quick-enroll-device-x509-python,19,19,wesmc,wesmc7777,timlt,1/25/2018,iot-dps,quickstart,"Quickstart: Enroll X.509 devices to the Device Provisioning Service using Python
",This quickstart shows you how to enroll X.509 devices to the Azure Device Provisioning Service using Python | Microsoft Docs,"This quickstart uses group enrollments. In this quickstart, you will enroll X.509 devices to the Azure IoT Hub Device Provisioning Service using Python",4,13,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-hub\quickstart-control-device-python.md,http://docs.microsoft.com/azure/iot-hub/quickstart-control-device-python,30,30,wesmc,wesmc7777,philmea,4/30/2018,iot-hub,quickstart,"Quickstart: Control a device connected to an IoT hub (Python)
",Control a device from Azure IoT Hub quickstart (Python) | Microsoft Docs,"In this quickstart, you run two sample Python applications. One application is a back-end application that can remotely control devices connected to your hub. The other application simulates a device connected to your hub that can be controlled remotely.",8,5,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\iot-hub\quickstart-send-telemetry-python.md,http://docs.microsoft.com/azure/iot-hub/quickstart-send-telemetry-python,35,35,wesmc,wesmc7777,philmea,2/28/2019,iot-hub,quickstart,"Quickstart: Send telemetry from a device to an IoT hub and read it with a back-end application (Python)
",Send telemetry to Azure IoT Hub quickstart (Python) | Microsoft Docs,"In this quickstart, you run a sample Python application to send simulated telemetry to an IoT hub and use a utility to read telemetry from the IoT hub.",7,7,2,0
