Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description,MinutesToRead,LinksInIntroduction,CodeBlocksPython,CodeBlocksCLI
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Video-Search\quickstarts\sdk-python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Video-Search/quickstarts/sdk-python-quickstart,20,20,rosh,mikedodaro,nitinme,1/31/2019,cognitive-services,quickstart,"Quickstart: Perform a video search with the Bing Video Search SDK for Python
","""Quickstart: Search for videos using the Bing Video Search SDK for Python""",Use this quickstart to send video search requests using the Bing Video Search SDK for Python,2,3,4,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Web-Search\quickstarts\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Web-Search/quickstarts/python,16,16,aahi,aahill,nitinme,2/12/2019,cognitive-services,quickstart,"Quickstart: Use Python to call the Bing Web Search API  
","""Quickstart: Perform a search with Python - Bing Web Search API""","Use this quickstart to send requests to the Bing Web Search REST API using Python, and receive a JSON response",2,2,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Web-Search\web-sdk-python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Web-Search/web-sdk-python-quickstart,46,46,aahi,aahill,nitinme,8/16/2018,cognitive-services,quickstart,"Quickstart: Use the Bing Web Search SDK for Python
","""Quickstart: Use the Bing Web Search SDK for Python""","The Bing Web Search SDK makes it easy to integrate Bing Web Search into your Python application. In this quickstart, you'll learn how to send a request, receive a JSON response, and filter and parse the results.",5,4,4,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\QuickStarts\python-analyze.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/QuickStarts/python-analyze,11,11,pafarley,PatrickFarley,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Analyze a remote image using the REST API and Python in Computer Vision
","""Quickstart: Analyze a remote image - REST, Python""","In this quickstart, you analyze a remote image using the Computer Vision API with Python.",3,4,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\QuickStarts\python-disk.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/QuickStarts/python-disk,11,11,pafarley,PatrickFarley,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Analyze a local image using the REST API and Python in Computer Vision
","""Quickstart: Analyze a local image - REST, Python""","In this quickstart, you analyze a local image using the Computer Vision APi with Python.",3,4,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\QuickStarts\python-domain.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/QuickStarts/python-domain,14,14,pafarley,PatrickFarley,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Use a domain model using the REST API and Python in Computer Vision
","""Quickstart: Domain-specific image content - REST, Python""","In this quickstart, you use domain models to identify celebrities and landmarks in  an image using the Computer Vision API with Python.",4,4,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\QuickStarts\python-hand-text.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/QuickStarts/python-hand-text,11,11,pafarley,PatrickFarley,nitinme,3/4/2019,cognitive-services,quickstart,"Quickstart: Extract handwritten text using the REST API and Python in Computer Vision
","""Quickstart: Extract handwritten text - REST, Python""","In this quickstart, you extract handwritten text from an image using the Computer Vision API with Python.",5,8,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\QuickStarts\python-print-text.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/QuickStarts/python-print-text,11,11,pafarley,PatrickFarley,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Extract printed text (OCR) using the REST API and Python in Computer Vision
","""Quickstart: Extract printed text - REST, Python""","In this quickstart, you extract printed text from an image using the Computer Vision API with Python.",3,4,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\QuickStarts\python-thumb.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/QuickStarts/python-thumb,6,6,pafarley,PatrickFarley,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Generate a thumbnail using the REST API and Python in Computer Vision
","""Quickstart: Generate a thumbnail - REST, Python""","In this quickstart, you generate a thumbnail from an image using the Computer Vision API with Python.",2,2,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Computer-vision\quickstarts-sdk\python-sdk.md,http://docs.microsoft.com/azure/cognitive-services/Computer-vision/quickstarts-sdk/python-sdk,49,49,pafarley,PatrickFarley,nitinme,2/28/2019,cognitive-services,quickstart,"Azure Cognitive Services Computer Vision SDK for Python
","""Quickstart: Python SDK""","In this quickstart, you learn how to use the Python SDK for common tasks.",6,9,8,1
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Content-Moderator\text-moderation-quickstart-python.md,http://docs.microsoft.com/azure/cognitive-services/Content-Moderator/text-moderation-quickstart-python,30,30,pafarley,PatrickFarley,nitinme,1/10/2019,cognitive-services,quickstart,"Quickstart: Analyze text content for objectionable material in Python
","""Quickstart: Analyze text content in Python - Content Moderator""",How to analyze text content for various objectionable material using the Content Moderator SDK for Python,3,1,6,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Custom-Vision-Service\python-tutorial-od.md,http://docs.microsoft.com/azure/cognitive-services/Custom-Vision-Service/python-tutorial-od,19,19,areddish,areddish,nitinme,11/5/2018,cognitive-services,quickstart,"Quickstart: Create an object detection project with the Custom Vision Python SDK
","""Quickstart: Create an object detection project with the Custom Vision SDK for Python""","Create a project, add tags, upload images, train your project, and detect objects using the Python SDK.",5,0,6,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Custom-Vision-Service\python-tutorial.md,http://docs.microsoft.com/azure/cognitive-services/Custom-Vision-Service/python-tutorial,18,18,areddish,areddish,nitinme,11/2/2018,cognitive-services,quickstart,"Quickstart: Create an image classification project with the Custom Vision Python SDK
","""Quickstart: Create an image classification project with the Custom Vision SDK for Python""","Create a project, add tags, upload images, train your project, and make a prediction using the Python SDK.",4,1,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Face\QuickStarts\Python.md,http://docs.microsoft.com/azure/cognitive-services/Face/QuickStarts/Python,6,6,pafarley,PatrickFarley,nitinme,2/6/2019,cognitive-services,quickstart,"Quickstart: Detect faces in an image using the Face REST API and Python
","""Quickstart: Detect faces in an image with the Azure REST API and Python""","In this quickstart, you will use the Azure Face REST API with Python to detect faces in an image.",2,1,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Face\Tutorials\FaceAPIinPythonTutorial.md,http://docs.microsoft.com/azure/cognitive-services/Face/Tutorials/FaceAPIinPythonTutorial,20,20,sbowles,SteveMSFT,nitinme,11/13/2018,cognitive-services,quickstart,"Quickstart: Create a Python script to detect and frame faces in an image
","""Quickstart: Detect and frame faces in an image with the Python SDK""","In this quickstart, you will create a simple Python script that uses the Face API to detect and frame faces in a remote image.",3,1,3,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\LUIS\luis-get-started-python-add-utterance.md,http://docs.microsoft.com/azure/cognitive-services/LUIS/luis-get-started-python-add-utterance,11,11,diberry,diberry,nitinme,1/23/2019,cognitive-services,quickstart,"Quickstart: Change model using Python
","Change, train app, Python","In this Python quickstart, add example utterances to a Home Automation app and train the app.",4,2,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\LUIS\luis-get-started-python-get-intent.md,http://docs.microsoft.com/azure/cognitive-services/LUIS/luis-get-started-python-get-intent,15,15,diberry,diberry,nitinme,1/23/2019,cognitive-services,quickstart,"Quickstart: Get intent using Python
","Get intent, Python","In this quickstart, pass utterances to a LUIS endpoint and get intent and entities back.",4,2,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Labs\Answer-Search\python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Labs/Answer-Search/python-quickstart,5,5,rosh,mikedodaro,nitinme,4/13/2018,cognitive-services,quickstart,"Quickstart Project Answer Search with Python
","""Quickstart: Project Answer Search, Python""",Python example get started using Project Answer Search.,2,0,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Labs\URL-Preview\python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Labs/URL-Preview/python-quickstart,5,5,rosh,mikedodaro,nitinme,3/29/2018,cognitive-services,quickstart,"Quickstart: URL Preview with Python
","""Quickstart: Project URL Preview, Python""",Script sample to quickly get started using the Project URL Previewwith Python.,2,1,0,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\QnAMaker\Quickstarts\create-new-kb-python.md,http://docs.microsoft.com/azure/cognitive-services/QnAMaker/Quickstarts/create-new-kb-python,22,22,diberry,diberry,nitinme,1/24/2019,cognitive-services,quickstart,"Quickstart: Create a knowledge base in QnA Maker using Python
","""Quickstart: Create knowledge base - REST, Python - QnA Maker""","This Python REST-based quickstart walks you through creating a sample QnA Maker knowledge base, programmatically, that will appear in your Azure Dashboard of your Cognitive Services API account.",4,3,7,1
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\QnAMaker\Quickstarts\get-answer-from-knowledge-base-python.md,http://docs.microsoft.com/azure/cognitive-services/QnAMaker/Quickstarts/get-answer-from-knowledge-base-python,17,17,diberry,diberry,nitinme,2/28/2019,cognitive-services,quickstart,"Get answers to a question from a knowledge base with Python
","""Quickstart: Get answer from knowledge base - REST, Python - QnA Maker""","This Python REST-based quickstart walks you through getting an answer from a knowledge base, programmatically.",3,3,3,1
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\QnAMaker\Quickstarts\publish-kb-python.md,http://docs.microsoft.com/azure/cognitive-services/QnAMaker/Quickstarts/publish-kb-python,15,15,diberry,diberry,nitinme,2/28/2019,cognitive-services,quickstart,"Quickstart: Publish a knowledge base in QnA Maker using Python
","Publish knowledge base, REST, Python",This Python REST-based quickstart walks you through publishing your knowledge base which pushes the latest version of the tested knowledge base to a dedicated Azure Search index representing the published knowledge base. It also creates an endpoint that can be called in your application or chat bot.,2,1,3,1
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Speech-Service\quickstart-python.md,http://docs.microsoft.com/azure/cognitive-services/Speech-Service/quickstart-python,39,39,chlandsi,chlandsi,nitinme,2/20/2019,cognitive-services,quickstart,"Quickstart: Recognize speech with the Speech SDK for Python
","'Quickstart: Recognize speech, Python - Speech Services'","Use this guide to create a speech-to-text console application that uses the Speech SDK for Python. When finished, you can use your computer's microphone to transcribe speech to text in real time.",3,14,1,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Translator\quickstart-python-detect.md,http://docs.microsoft.com/azure/cognitive-services/Translator/quickstart-python-detect,23,23,erhopf,erhopf,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Use the Translator Text API to detect text language using Python
","""Quickstart: Detect text language, Python - Translator Text API""","In this quickstart, you'll learn how to identify the language of provided text using Python and the Translator Text REST API.",3,2,7,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Translator\quickstart-python-dictionary.md,http://docs.microsoft.com/azure/cognitive-services/Translator/quickstart-python-dictionary,23,23,erhopf,erhopf,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Look up words with bilingual dictionary using Python
","""Quickstart: Look up words with bilingual dictionary, Python - Translator Text API""","In this quickstart, you'll learn how to find alternate translations and usage examples for a specified text using Python and the Translator Text REST API.",3,2,7,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Translator\quickstart-python-languages.md,http://docs.microsoft.com/azure/cognitive-services/Translator/quickstart-python-languages,21,21,erhopf,erhopf,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Use the Translator Text API to get a list of supported languages using Python
","""Quickstart: Get list of supported languages, Python - Translator Text API""","In this quickstart, you get a list of languages supported for translation, transliteration, and dictionary lookup and examples using the Translator Text API with Python.",2,0,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Translator\quickstart-python-sentences.md,http://docs.microsoft.com/azure/cognitive-services/Translator/quickstart-python-sentences,23,23,erhopf,erhopf,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Use the Translator Text API to determine sentence length using Python
","""Quickstart: Get sentence lengths, Python - Translator Text API""","In this quickstart, you'll learn how to determine sentence lengths (in characters) using Python and the Translator Text REST API.",3,2,7,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Translator\quickstart-python-translate.md,http://docs.microsoft.com/azure/cognitive-services/Translator/quickstart-python-translate,23,23,erhopf,erhopf,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Use the Translator Text API to translate a string using Python
","""Quickstart: Translate text, Python - Translator Text API""","In this quickstart, you'll translate text from one language to another using the Translator Text API with Python in less than 10 minutes.",3,2,7,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Translator\quickstart-python-transliterate.md,http://docs.microsoft.com/azure/cognitive-services/Translator/quickstart-python-transliterate,23,23,erhopf,erhopf,nitinme,2/21/2019,cognitive-services,quickstart,"Quickstart: Use the Translator Text API to transliterate text using Python
","""Quickstart: Transliterate text, Python - Translator Text API""","In this quickstart, you'll learn how to transliterate (convert) text from one script to another using Python and the Translator Text REST API. In this sample, Japanese is transliterated to use the Latin alphabet.",3,2,7,0
